ID,filename,calendar_date,bodylocation,N valid hours,N hours,weekday,measurementday,L5hr_ENMO_mg_0-24hr,L5_ENMO_mg_0-24hr,M5hr_ENMO_mg_0-24hr,M5_ENMO_mg_0-24hr,mean_ENMO_mg_1-6am,mean_ENMO_mg_0-24hr,MVPA_E5S_T100_ENMO_0-24hr,MVPA_E1M_T100_ENMO_0-24hr,MVPA_E5M_T100_ENMO_0-24hr,MVPA_E5S_B1M80%_T100_ENMO_0-24hr,MVPA_E5S_B5M80%_T100_ENMO_0-24hr,MVPA_E5S_B10M80%_T100_ENMO_0-24hr,L5hr_NeishabouriCount_x_mg_0-24hr,L5_NeishabouriCount_x_mg_0-24hr,M5hr_NeishabouriCount_x_mg_0-24hr,M5_NeishabouriCount_x_mg_0-24hr,mean_NeishabouriCount_x_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_x_0-24hr,MVPA_E1M_T100_NeishabouriCount_x_0-24hr,MVPA_E5M_T100_NeishabouriCount_x_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_x_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_x_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_x_0-24hr,L5hr_NeishabouriCount_y_mg_0-24hr,L5_NeishabouriCount_y_mg_0-24hr,M5hr_NeishabouriCount_y_mg_0-24hr,M5_NeishabouriCount_y_mg_0-24hr,mean_NeishabouriCount_y_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_y_0-24hr,MVPA_E1M_T100_NeishabouriCount_y_0-24hr,MVPA_E5M_T100_NeishabouriCount_y_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_y_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_y_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_y_0-24hr,L5hr_NeishabouriCount_z_mg_0-24hr,L5_NeishabouriCount_z_mg_0-24hr,M5hr_NeishabouriCount_z_mg_0-24hr,M5_NeishabouriCount_z_mg_0-24hr,mean_NeishabouriCount_z_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_z_0-24hr,MVPA_E1M_T100_NeishabouriCount_z_0-24hr,MVPA_E5M_T100_NeishabouriCount_z_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_z_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_z_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_z_0-24hr,L5hr_NeishabouriCount_vm_mg_0-24hr,L5_NeishabouriCount_vm_mg_0-24hr,M5hr_NeishabouriCount_vm_mg_0-24hr,M5_NeishabouriCount_vm_mg_0-24hr,mean_NeishabouriCount_vm_mg_0-24hr,MVPA_E5S_T100_NeishabouriCount_vm_0-24hr,MVPA_E1M_T100_NeishabouriCount_vm_0-24hr,MVPA_E5M_T100_NeishabouriCount_vm_0-24hr,MVPA_E5S_B1M80%_T100_NeishabouriCount_vm_0-24hr,MVPA_E5S_B5M80%_T100_NeishabouriCount_vm_0-24hr,MVPA_E5S_B10M80%_T100_NeishabouriCount_vm_0-24hr,step_count_sum_0-24hr
Lup018,Lup018 thigh pre.cwa,2022-12-14T00:00:00+0100,not extracted,0,24,Wednesday,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup018,Lup018 thigh pre.cwa,2022-12-15T00:00:00+0100,not extracted,0,24,Thursday,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup018,Lup018 thigh pre.cwa,2022-12-16T00:00:00+0100,not extracted,0,24,Friday,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup018,Lup018 thigh pre.cwa,2022-12-17T00:00:00+0100,not extracted,0,24,Saturday,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup018,Lup018 thigh pre.cwa,2022-12-18T00:00:00+0100,not extracted,0,5,Sunday,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lup023,Lup023 thigh pre.cwa,2023-02-24T05:15:00+0100,not extracted,18.5,18.75,Friday,1,20,4.223,9.167,104.181,20.904,30.756,116.833,116,120,108,108.083,107,19.833,5016.69,10.833,182094.444,49.032,157.75,143,145,129,132.083,132.083,21.833,5293.241,10.667,79278.611,27.611,161.25,131,125,106.5,97,98.25,19.833,7744.699,10.833,158299.444,49.458,205.5,212,180,152.417,130.75,128.5,21.667,45.069,8.333,1455,0.428,0,0,0,0,0,0,0
Lup023,Lup023 thigh pre.cwa,2023-02-25T00:00:00+0100,not extracted,24,24,Saturday,2,28.167,2.488,12.167,100.775,2.754,26.42,105.75,113,120,102.667,101.917,100.75,25.167,1342.778,12.167,211045.833,50.334,140.917,130,140,111.167,113,109.75,26.833,830.278,12.167,95870.278,26.84,172.833,152,145,122.917,116.333,113.667,27.167,1356.667,12.167,179706.389,47.432,187.333,201,180,140.917,117.667,117.667,28,0,12.167,1626.389,0.414,0,0,0,0,0,0,0
Lup023,Lup023 thigh pre.cwa,2023-02-26T00:00:00+0100,not extracted,24,24,Sunday,3,26.5,1.622,10.5,144.812,2.635,39.426,148.667,156,155,145.25,152.833,150.833,26.167,1795,10.5,233349.722,63.358,185.083,166,165,150.083,158.667,155,26.167,980,10.5,121934.167,37.378,218.5,207,170,166.083,159.667,156.25,26.167,1584.167,10.5,197936.944,59.295,227,237,210,169.5,163,162.333,26.333,0.556,10.5,1654.722,0.495,0,0,0,0,0,0,0
Lup023,Lup023 thigh pre.cwa,2023-02-27T00:00:00+0100,not extracted,23.75,24,Monday,4,24.833,1.886,13.667,85.458,1.917,38.006,168.417,170,185,157.917,135.75,113.833,24.333,1613.611,10.167,219123.611,77.799,212.75,205,235,173.667,178.583,125.75,24.333,1241.852,13.5,76460.278,34.962,244.083,214,175,185.083,169.917,147.25,24.333,2553.981,13.667,165048.611,72.895,276.75,294,330,208.583,200.667,172.667,25.333,0,10.167,1705,0.696,0,0,0,0,0,0,0
Lup023,Lup023 thigh pre.cwa,2023-02-28T00:00:00+0100,not extracted,3.75,3.75,Tuesday,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
